~https://www.aonsrd.com/Armor.aspx?Category=Light
<>Name?Level?Price?EAC_Bonus?KAC_Bonus?Maximum_Dex_Bonus?Armor_Check_Penalty?Speed_Adjustment?Upgrade_Slots?Bulk?
:::-
Stationwear, Flight Suit?1?95?+0?+1?6?—?—?0?L?
Shobhad Harness, Recruit?1?150?+0?+2?4?-1?—?0?1?
Second Skin?1?250?+1?+2?5?—?—?1?L?
Estex Suit, I?1?410?+0?+1?5?-1?—?2?1?
Kasatha Microcord, I?2?460?+1?+3?3?-1?—?0?1?
Perserver's Mantle, I?2?520?+1?+2?6?—?—?0?L?
Zeizerer Diffractor, I?2?650?+2?+2?4?—?—?0?L?
Freebooter Armor, I?2?750?+2?+3?4?—?—?0?L?
Vesk Brigandine, I?2?950?+2?+2?5?—?—?1?L?
Hardened Resin?3?1,200?+2?+3?5?-1?—?1?1?
Shotalashu Armor?16?149,500?+19?+20?7?—?—?5?L?
Lashunta Mind Mail, III?16?166,500?+20?+20?7?—?—?3?L?
D-Suit, V?17?244,300?+20?+21?7?—?—?5?L?
Grave Mantle, Officer?17?256,500?+20?+22?5?—?—?3?L?
Echelon Fashion, Bespoke?17?285,000?+18?+19?8?—?—?0?L?
Zeizerer Diffractor, V?18?340,000?+20?+20?9?—?—?4?L?
Polyplate, Paragon?18?345,000?+19?+21?7?—?—?5?L?
Freebooter Armor, V?18?367,650?+20?+21?8?—?—?5?L?
Void Hide, III?18?382,500?+20?+22?6?-1?—?3?1?
Regimental Dress, III?18?387,000?+22?+22?6?—?—?4?L?
D-Suit, VI?19?552,000?+21?+22?8?—?—?6?L?
Lashunta Mind Mail, IV?19?556,000?+22?+22?7?—?—?5?L?
Carbon Skin, Nanotube?20?825,000?+21?+23?8?-1?—?6?1?
Shiftskin, III?20?886,500?+22?+24?7?-1?—?5?1?
Hardlight Series, Specialist?20?928,000?+22?+22?8?—?—?6?L?

